,WACI_MV,CF_MV,WACI_VW,CF_VW
2014,302.88141306968913,161.4995944473563,572.0069781926449,463.61231761820216
2015,351.3704357007373,159.45992143147174,630.9785735954737,582.8133479770504
2016,190.37509032919303,103.72726728941281,516.16899766099,473.13631561390457
2017,270.88987090683895,98.21840292111585,627.9708327978778,717.1778420067866
2018,421.01370474434117,325.65069795154045,700.3170493155524,668.5170197309344
2019,1167.7566316268574,784.946581664506,483.94526740460276,593.1529035057315
2020,475.71832045031704,227.14686451220936,587.8496515187053,693.7223224467253
2021,430.41546126661865,273.3791716835649,416.32042784156954,676.6977895823451
2022,722.2968914190899,415.6984817549711,422.57168665636823,590.7570549361426
2023,419.9609582842015,597.1906215951121,390.5535943989189,570.24996692267
2024,424.212151483662,424.87653812889477,353.4849859201438,645.6814173800744
2025,420.1184122548883,526.1928181400496,394.41966933257584,580.7382872897686
