,WACI_VW,WACI_VW_50,WACI_NZ,CF_VW,CF_VW_50,CF_NZ
2014,572.0069781926449,321.6289518243208,321.5834014704553,463.61231761820216,144.17908247111373,144.1593219833972
2015,630.9785735954737,286.67932336935553,530.4597843036989,582.8133479770504,291.40667398852156,375.5259772707391
2016,516.16899766099,218.08618820979794,275.6480508397816,473.13631561390457,236.56815780693742,337.9733795436358
2017,627.9708327978778,292.06362979343777,253.79286182205286,717.1778420067866,358.5889210037823,304.1760415894352
2018,700.3170493155524,642.1356905282524,651.1212591051928,668.5170197309344,334.258510277041,273.7584374286374
2019,483.94526740460276,272.4317700079534,271.7023122856432,593.1529035057315,296.57645193561274,246.38259369929267
2020,587.8496515187053,320.75046218719854,212.60250776089524,693.7223224467253,346.86116121887824,221.7443343102644
2021,416.32042784156954,298.57091319771394,239.4539064772477,676.6977895823451,338.3488947911716,199.56990088675883
2022,422.57168665636823,263.94455594475494,182.03384370576865,590.7570549361426,295.37852746804924,179.6129107980637
2023,390.5535943989189,300.5494304373933,176.28569566790375,570.24996692267,285.1249835366048,161.6516197315508
2024,353.4849859201438,682.4096618530506,307.2056686113194,645.6814173800744,322.84070874374413,145.48645774665414
2025,394.41966933257584,290.3863574367713,137.70083158162646,580.7382872897686,290.3691483236766,130.93781197189514
